,Image Name,Real lables,Predected Labels
0,er - ER_076.TIF,er,er
1,microtubules - microtubules_002.tif,microtubules,microtubules
2,mitochondria - mitochondria_054.tif,mitochondria,mitochondria
3,endosome - endosome_073.tif,endosome,endosome
4,mitochondria - mitochondria_008.tif,mitochondria,microtubules
5,nucleolus - nucleolus_013.tif,nucleolus,nucleolus
6,actin - actin_040.tif,actin,actin
7,lysosome - lysosome_047.tif,lysosome,lysosome
8,nucleolus - nucleolus_019.tif,nucleolus,nucleolus
9,golgpp - golgpp_072.tif,golgpp,golgpp
10,dna - DNA_050.TIF,dna,dna
11,actin - actin_065.tif,actin,actin
12,microtubules - microtubules_012.tif,microtubules,microtubules
13,microtubules - microtubules_085.tif,microtubules,microtubules
14,er - ER_063.TIF,er,er
15,actin - actin_015.tif,actin,actin
16,golgia - golgia_066.tif,golgia,golgia
17,endosome - endosome_090.tif,endosome,endosome
18,lysosome - lysosome_055.tif,lysosome,lysosome
19,dna - DNA_020.TIF,dna,dna
20,golgia - golgia_015.tif,golgia,golgia
21,golgpp - golgpp_018.tif,golgpp,golgpp
22,actin - actin_084.tif,actin,actin
23,golgpp - golgpp_007.tif,golgpp,golgpp
24,endosome - endosome_026.tif,endosome,endosome
25,endosome - endosome_080.tif,endosome,endosome
26,nucleolus - nucleolus_001.tif,nucleolus,nucleolus
27,golgpp - golgpp_001.tif,golgpp,golgpp
28,endosome - endosome_089.tif,endosome,endosome
29,nucleolus - nucleolus_078.tif,nucleolus,nucleolus
30,endosome - endosome_053.tif,endosome,endosome
31,microtubules - microtubules_031.tif,microtubules,microtubules
32,er - ER_058.TIF,er,er
33,actin - actin_057.tif,actin,actin
34,golgia - golgia_037.tif,golgia,golgia
35,er - ER_064.TIF,er,er
36,er - ER_084.TIF,er,er
37,dna - DNA_058.TIF,dna,dna
38,actin - actin_049.tif,actin,actin
39,actin - actin_018.tif,actin,actin
40,golgia - golgia_034.tif,golgia,golgia
41,actin - actin_091.tif,actin,actin
42,actin - actin_075.tif,actin,actin
43,microtubules - microtubules_076.tif,microtubules,microtubules
44,dna - DNA_021.TIF,dna,dna
45,dna - DNA_073.TIF,dna,dna
46,microtubules - microtubules_004.tif,microtubules,microtubules
47,microtubules - microtubules_070.tif,microtubules,microtubules
